Number,Name,Type1,Type2,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation,Legendary
1,妙蛙種子,Grass,Poison,45,49,49,65,65,45,1,FALSE
2,妙蛙草,Grass,Poison,60,62,63,80,80,60,1,FALSE
3,妙蛙花,Grass,Poison,80,82,83,100,100,80,1,FALSE
3,妙蛙花Mega,Grass,Poison,80,100,123,122,120,80,1,FALSE
4,小火龍,Fire,NA,39,52,43,60,50,65,1,FALSE
5,火恐龍,Fire,NA,58,64,58,80,65,80,1,FALSE
6,噴火龍,Fire,Flying,78,84,78,109,85,100,1,FALSE
6,噴火龍MegaX,Fire,Dragon,78,130,111,130,85,100,1,FALSE
6,噴火龍MegaY,Fire,Flying,78,104,78,159,115,100,1,FALSE
7,傑尼龜,Water,NA,44,48,65,50,64,43,1,FALSE
8,卡咪龜,Water,NA,59,63,80,65,80,58,1,FALSE
9,水箭龜,Water,NA,79,83,100,85,105,78,1,FALSE
9,水箭龜Mega,Water,NA,79,103,120,135,115,78,1,FALSE
10,綠毛蟲,Bug,NA,45,30,35,20,20,45,1,FALSE
11,鐵甲蛹,Bug,NA,50,20,55,25,25,30,1,FALSE
12,巴大蝶,Bug,Flying,60,45,50,90,80,70,1,FALSE
13,獨角蟲,Bug,Poison,40,35,30,20,20,50,1,FALSE
14,鐵殼蛹,Bug,Poison,45,25,50,25,25,35,1,FALSE
15,大針蜂,Bug,Poison,65,90,40,45,80,75,1,FALSE
15,大針蜂Mega,Bug,Poison,65,150,40,15,80,145,1,FALSE
16,波波,Normal,Flying,40,45,40,35,35,56,1,FALSE
17,比比鳥,Normal,Flying,63,60,55,50,50,71,1,FALSE
18,大比鳥,Normal,Flying,83,80,75,70,70,101,1,FALSE
18,大比鳥Mega,Normal,Flying,83,80,80,135,80,121,1,FALSE
19,小拉達,Normal,NA,30,56,35,25,35,72,1,FALSE
20,拉達,Normal,NA,55,81,60,50,70,97,1,FALSE
21,烈雀,Normal,Flying,40,60,30,31,31,70,1,FALSE
22,大嘴雀,Normal,Flying,65,90,65,61,61,100,1,FALSE
23,阿柏蛇,Poison,NA,35,60,44,40,54,55,1,FALSE
24,阿柏怪,Poison,NA,60,85,69,65,79,80,1,FALSE
25,皮卡丘,Electric,NA,35,55,40,50,50,90,1,FALSE
26,雷丘,Electric,NA,60,90,55,90,80,110,1,FALSE
27,穿山鼠,Ground,NA,50,75,85,20,30,40,1,FALSE
28,穿山王,Ground,NA,75,100,110,45,55,65,1,FALSE
29,尼多蘭,Poison,NA,55,47,52,40,40,41,1,FALSE
30,尼多娜,Poison,NA,70,62,67,55,55,56,1,FALSE
31,尼多后,Poison,Ground,90,92,87,75,85,76,1,FALSE
32,尼多朗,Poison,,46,57,40,40,40,50,1,FALSE
33,尼多力諾,Poison,NA,61,72,57,55,55,65,1,FALSE
34,尼多王,Poison,Ground,81,102,77,85,75,85,1,FALSE
35,皮皮,Fairy,NA,70,45,48,60,65,35,1,FALSE
36,皮可西,Fairy,NA,95,70,73,95,90,60,1,FALSE
37,六尾,Fire,NA,38,41,40,50,65,65,1,FALSE
38,九尾,Fire,NA,73,76,75,81,100,100,1,FALSE
39,胖丁,Normal,Fairy,115,45,20,45,25,20,1,FALSE
40,胖可丁,Normal,Fairy,140,70,45,85,50,45,1,FALSE
41,超音蝠,Poison,Flying,40,45,35,30,40,55,1,FALSE
42,大嘴蝠,Poison,Flying,75,80,70,65,75,90,1,FALSE
43,走路草,Grass,Poison,45,50,55,75,65,30,1,FALSE
44,臭臭花,Grass,Poison,60,65,70,85,75,40,1,FALSE
45,霸王花,Grass,Poison,75,80,85,110,90,50,1,FALSE
46,派拉斯,Bug,Grass,35,70,55,45,55,25,1,FALSE
47,派拉斯特,Bug,Grass,60,95,80,60,80,30,1,FALSE
48,毛球,Bug,Poison,60,55,50,40,55,45,1,FALSE
49,摩魯蛾,Bug,Poison,70,65,60,90,75,90,1,FALSE
50,地鼠,Ground,NA,10,55,25,35,45,95,1,FALSE
51,三地鼠,Ground,NA,35,80,50,50,70,120,1,FALSE
52,喵喵,Normal,NA,40,45,35,40,40,90,1,FALSE
53,貓老大,Normal,NA,65,70,60,65,65,115,1,FALSE
54,可達鴨,Water,NA,50,52,48,65,50,55,1,FALSE
55,哥達鴨,Water,NA,80,82,78,95,80,85,1,FALSE
56,猴怪,Fighting,NA,40,80,35,35,45,70,1,FALSE
57,火爆猴,Fighting,NA,65,105,60,60,70,95,1,FALSE
58,卡蒂狗,Fire,NA,55,70,45,70,50,60,1,FALSE
